5;Wang Chuqin;13
6;Fan Zhendong;13
7;Félix Lebrun;14
8;Hugo Calderano;15
9;Lin Yun-ju;16
10;Tomokazu Harimoto;17
11;Dang Qiu;18
12;Jang Woo-jin;19
13;Dimitrij Ovtcharov;18
14;Shunsuke Togami;17
15;Alexis Lebrun;14
16;Marcos Freitas;20
17;Darko Jorgic;21
18;Quadri Aruna;22
19;Cho Dae-seong;19
20;Omar Assar;23
21;Jonathan Groth;24
22;Anton Källberg;56
23;Truls Moregardh;56
24;Kao Cheng-jui;16
25;Álvaro Robles;25
26;Edward Ly;26
27;Nicholas Lum;27
28;Sharath Kamal Achanta;28
29;Liam Pitchford;29
30;Finn Luu;27
31;Ovidiu Ionescu;30
32;Kirill Gerassimenko;31
33;Mohamed El-Beiali;23
34;Wong Chun Ting;32
35;Noshad Alamian;33
36;Tomislav Pucar;34
37;Andy Pereira;35
38;Nicolás Burgos;36
39;Anders Lind;24
40;Daniel Habesohn;37
41;Tiago Apolónia;20
42;Andrej Gacina;34
43;Wang Yang;38
44;Eduard Ionescu;30
45;Milosz Redzimski;59
46;Brian Afanador;39
47;Alberto Miño;40
48;Martin Allegro;41
49;Santiago Lorenzo;42
50;Marcos Madrid;43
51;Izaac Quek;44
52;Vitor Ishiy;15
53;Harmeet Desai;57
54;Daniel González;39
55;Ibrahima Diaw;45
56;Luka Mladenovic;46
57;Cedric Nuytinck;41
58;Olajide Omotayo;22
59;Eugene Wang;26
60;Panagiotis Gionis;47
61;Mehdi Bouloussa;48
62;Saheed Idowu;58
63;Kanak Jha;49
64;Deni Kožul;21
65;Fabio Rakotoarimanana;53
66;Yaroslav Zhmudenko;51
67;Nima Alamian;33
68;Vicky Wu;52
